"","name","brand","country","city","power","price","km","year","stringAsFactors"
"5316","Cabeza tractora Scania R 400","Scania","HOLANDA","Etten",NA,12950,1019244,"2009",FALSE
"5317","Cabeza tractora Scania R124 420","Scania","HOLANDA","Ede",420,9900,132000,"2004",FALSE
"5318","Cabeza tractora Scania 124 - 360 (MANUAL PUMP / MANUAL GEARBOX / PTO / EURO 2)","Scania","BÉLGICA","Bree",360,7500,428000,"1998",FALSE
"5319","Cabeza tractora Iveco Stralis AD 440 S 48","Iveco","ITALIA","Uboldo",480,NA,520000,"2022",FALSE
"5320","Cabeza tractora Mercedes Actros 1848 LS","Mercedes","ITALIA","Uboldo",480,42900,680000,"2017",FALSE
"5321","Cabeza tractora MAN TGX 18.460","MAN","ITALIA","Melegnano",460,49000,630000,"2018",FALSE
"5322","Cabeza tractora Renault T 460 E6 Retarder Standklima 2 Tank 7 Stück-Unit","Renault","ALEMANIA","Hilden",460,43800,614254,"2018",FALSE
"5323","Cabeza tractora Volvo FH12 420","Volvo","ITALIA","Tolentino",NA,6000,8e+05,"1997",FALSE
"5324","Cabeza tractora Mercedes Actros Actros 1846 Retarder","Mercedes","ALEMANIA","Langenfeld",456,21900,1079715,"2010",FALSE
"5325","Cabeza tractora Renault T-Series","Renault","FRANCIA","Haute",480,64000,375784,"2018",FALSE
"5326","Cabeza tractora convoy excepcional Iveco S-WAY 460 LNG Low Leder Intarder Vollausstattung","Iveco","ALEMANIA","Bakum",460,76800,353499,"2020",FALSE
"5327","Cabeza tractora Iveco S-WAY 460 LNG Low Leder Intarder Vollausstattung","Iveco","ALEMANIA","Bakum",460,76800,350652,"2020",FALSE
"5328","Cabeza tractora Iveco S-WAY 460 LNG Leder Intarder Vollausstattung","Iveco","ALEMANIA","Bakum",460,78500,282714,"2020",FALSE
"5329","Cabeza tractora Iveco S-WAY 460 LNG Leder Intarder Vollausstattung","Iveco","ALEMANIA","Bakum",460,78500,282204,"2020",FALSE
"5330","Cabeza tractora Mercedes Actros 1845","Mercedes","FRANCIA","Pyrénées",NA,NA,480000,"2016",FALSE
"5331","Cabeza tractora Volvo FH 500/ Hydraulik","Volvo","LUXEMBURGO","Remich",510,36900,674000,"2016",FALSE
"5332","Cabeza tractora Scania R 164","Scania","HOLANDA","Goes",479,8900,1037295,"2006",FALSE
"5333","Cabeza tractora Iveco Stralis 480","Iveco","HOLANDA","Etten",479,9950,1807557,"2003",FALSE
"5334","Cabeza tractora Renault T-Series 460 T4X2 E6","Renault","FRANCIA","Maine",460,NA,385000,"2018",FALSE
"5335","Cabeza tractora MAN TGX 26.560","MAN","HOLANDA","Heteren",560,NA,246000,"2016",FALSE
"5336","Cabeza tractora Volvo FH16 660","Volvo","FRANCIA","Bas",660,59000,273200,"2019",FALSE
