"","name","brand","country","city","power","price","km","year","stringAsFactors"
"86","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,68300,469294,"2018",FALSE
"87","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,68900,438863,"2019",FALSE
"88","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,62600,509779,"2018",FALSE
"89","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,65300,439273,"2018",FALSE
"90","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,66600,433471,"2018",FALSE
"91","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,63700,574079,"2018",FALSE
"92","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,61800,500703,"2018",FALSE
"93","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,69500,413644,"2019",FALSE
"94","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,60300,591443,"2017",FALSE
"95","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,62200,536053,"2017",FALSE
"96","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,67600,495275,"2018",FALSE
"97","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,60300,591097,"2017",FALSE
"98","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,59700,469675,"2018",FALSE
"99","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,60800,441706,"2018",FALSE
"100","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,60600,603860,"2018",FALSE
"101","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,59800,562027,"2017",FALSE
"102","Cabeza tractora DAF XF 530","DAF","ESPAÑA","San Fernando De Henares",NA,65200,525715,"2018",FALSE
"103","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,65600,464780,"2019",FALSE
"104","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,62400,534710,"2017",FALSE
"105","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,65200,478813,"2018",FALSE
"106","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,62400,534710,"2017",FALSE
"107","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,65200,478813,"2018",FALSE
"108","Cabeza tractora DAF XF","DAF","ESPAÑA","San Fernando De Henares",NA,99,999,"2017",FALSE
"109","Cabeza tractora DAF XF FT XF450","DAF","ESPAÑA","San Fernando De Henares",NA,60500,509355,"2018",FALSE
"110","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",482,62000,538955,"2017",FALSE
"111","Cabeza tractora DAF XF 480","DAF","ESPAÑA","San Fernando De Henares",NA,64600,388442,"2018",FALSE
"112","Cabeza tractora Renault T","Renault","ESPAÑA","San Fernando De Henares",NA,99,999,"2017",FALSE
"113","Cabeza tractora productos peligrosos / ADR Renault T-Series 460 T4X2 CITERNIER E6","Renault","ESPAÑA","Vilamalla",460,41500,424000,"2016",FALSE
"114","Cabeza tractora Scania R-series","Scania","ESPAÑA","Quintana De Orden",NA,NA,1300000,"2006",FALSE
"115","Cabeza tractora Mercedes Actros 1845","Mercedes","ESPAÑA","Quintana De Orden",NA,NA,999000,"2014",FALSE
"116","Cabeza tractora",NA,"ESPAÑA","Palma De Mallorca",NA,18150,NA,NA,FALSE
"117","Cabeza tractora Iveco ad 440 s43t-p","Iveco","ESPAÑA","Palma De Mallorca",NA,19360,NA,NA,FALSE
"118","Cabeza tractora productos peligrosos / ADR Iveco Stralis 440 S 500","Iveco","ESPAÑA","Vila",500,42000,571000,"2017",FALSE
"119","Cabeza tractora Scania G 410","Scania","ESPAÑA","Torrefarrera",410,21000,1,"2014",FALSE
"120","Cabeza tractora Iveco Stralis AS 440 S 50 TP","Iveco","ESPAÑA","Vilagarcía De Arousa",500,36000,620560,"2015",FALSE
"121","Cabeza tractora Iveco Stralis AS 440 S 46 TP","Iveco","ESPAÑA","Vilagarcía De Arousa",460,45000,293720,"2017",FALSE
"122","Cabeza tractora Iveco Stralis AS 440 S 48 TP","Iveco","ESPAÑA","Vilagarcía De Arousa",480,40000,273020,"2015",FALSE
"123","Cabeza tractora MAN TGA 40.480","MAN","ESPAÑA","Vilagarcía De Arousa",480,6800,1360851,"2005",FALSE
"124","Cabeza tractora Iveco Stralis 460","Iveco","ESPAÑA","Vilagarcía De Arousa",460,27300,672482,"2015",FALSE
"125","Cabeza tractora Iveco Stralis 480","Iveco","ESPAÑA","Vilagarcía De Arousa",480,29500,688918,"2014",FALSE
"126","Cabeza tractora Iveco Stralis AS 500 E6 Hi-Way / Kühlbox / Nur 274Tkm!","Iveco","ESPAÑA","Alcasser / Valencia",501,30800,274953,"2014",FALSE
"127","Cabeza tractora Mercedes Actros 1851 EURO 6 MP4 Retarder / 2 Tank / ACC","Mercedes","ESPAÑA","Alcasser / Valencia",510,31800,765197,"2014",FALSE
"128","Cabeza tractora Iveco Stralis AS 400 LNG GAS Intarder/ACC/LDW/2 Tank/K","Iveco","ESPAÑA","Alcasser / Valencia",400,29800,481212,"2017",FALSE
"129","Cabeza tractora DAF XF105 460","Est","ESPAÑA","Tarambana",460,10000,1013736,"2007",FALSE
"130","Cabeza tractora Renault T-High 480 T4X2 E6","Renault","ESPAÑA","Massanassa",480,46600,464000,"2017",FALSE
"131","Cabeza tractora Mercedes Antos 1832","Mercedes","ESPAÑA","Alcala De Guadaira",320,NA,490000,"2015",FALSE
"132","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Onzonilla",480,26860,733781,"2016",FALSE
"133","Cabeza tractora productos peligrosos / ADR Renault Premium","Renault","ESPAÑA","Villamuriel De Cerrato",450,10000,1625000,"2008",FALSE
"134","Cabeza tractora productos peligrosos / ADR DAF XF 460","DAF","ESPAÑA","León",460,39900,670000,"2016",FALSE
"135","Cabeza tractora DAF XF 480","DAF","ESPAÑA","León",480,67900,379000,"2018",FALSE
"136","Cabeza tractora productos peligrosos / ADR DAF XF 480","DAF","ESPAÑA","León",480,76900,209000,"2018",FALSE
"137","Cabeza tractora DAF XF 460","DAF","ESPAÑA","León",460,31900,851000,"2015",FALSE
"138","Cabeza tractora DAF XF 480","DAF","ESPAÑA","León",480,68900,525000,"2018",FALSE
"139","Cabeza tractora DAF XF 480","DAF","ESPAÑA","León",480,69900,375000,"2018",FALSE
"140","Cabeza tractora DAF XF 480","DAF","ESPAÑA","León",480,61900,629000,"2017",FALSE
"141","Cabeza tractora DAF XF","DAF","ESPAÑA","León",450,49900,378000,"2018",FALSE
"142","Cabeza tractora productos peligrosos / ADR DAF XF 480","DAF","ESPAÑA","León",480,74900,205000,"2018",FALSE
"143","Cabeza tractora productos peligrosos / ADR DAF XF 480","DAF","ESPAÑA","León",480,NA,349000,"2018",FALSE
"144","Cabeza tractora DAF XF 480","DAF","ESPAÑA","León",480,69900,477000,"2018",FALSE
"145","Cabeza tractora DAF XF 460","DAF","ESPAÑA","León",460,37900,814000,"2015",FALSE
"146","Cabeza tractora Renault T520 High cab T520 HIGH SLEEPER CAB","Renault","ESPAÑA","Alcala De Guadaira",NA,33500,722300,"2015",FALSE
"147","Cabeza tractora Scania R 440","Scania","ESPAÑA","Alcala De Guadaira",NA,18500,817658,"2011",FALSE
"148","Cabeza tractora Mercedes Actros 1846","Mercedes","ESPAÑA","Terrassa",460,24500,1250000,"2013",FALSE
"149","Cabeza tractora Scania R 450","Scania","ESPAÑA","Terrassa",450,27500,830000,"2015",FALSE
"150","Cabeza tractora Volvo FH 500","Volvo","ESPAÑA","Zaragoza",500,46000,753000,"2017",FALSE
"151","Cabeza tractora Volvo FH13 500","Volvo","ESPAÑA","Valencia",500,61600,661716,"2018",FALSE
"152","Cabeza tractora Volvo FH13 500","Volvo","ESPAÑA","Valencia",500,52600,681792,"2017",FALSE
"153","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Almazora",480,49000,561000,"2017",FALSE
"154","Cabeza tractora productos peligrosos / ADR Renault T-Series","Renault","ESPAÑA","Beriain",480,58900,363056,"2018",FALSE
"155","Cabeza tractora Mercedes Actros 1845","Mercedes","ESPAÑA","Valencia",450,60700,561502,"2019",FALSE
"156","Cabeza tractora DAF XF 480","DAF","ESPAÑA","Valencia",482,73600,471119,"2019",FALSE
"157","Cabeza tractora Volvo FH13 500","Volvo","ESPAÑA","Valencia",500,62900,601649,"2018",FALSE
"158","Cabeza tractora Mercedes ACTROS 1840","Mercedes","ESPAÑA","Benavente",NA,NA,NA,"2002",FALSE
"159","Cabeza tractora Renault 450DXI","Renault","ESPAÑA","Benavente",NA,NA,NA,"2014",FALSE
"160","Cabeza tractora Iveco Stralis AS 440 S 48 TP","Iveco","ESPAÑA","Villabona",480,60000,257749,"2018",FALSE
"161","Cabeza tractora Iveco Stralis AS 440 S51 TP","Iveco","ESPAÑA","Villabona",510,57500,415040,"2018",FALSE
"162","Cabeza tractora Renault T-Series","Renault","ESPAÑA","Binefar",520,52000,549700,"2018",FALSE
"163","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Motilla Del Palancar",480,45500,650212,"2018",FALSE
"164","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Motilla Del Palancar",460,39500,360415,"2016",FALSE
"165","Cabeza tractora Iveco Stralis AT440S46T/P","Iveco","ESPAÑA","Motilla Del Palancar",460,52000,479429,"2018",FALSE
"166","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Motilla Del Palancar",480,49000,577814,"2017",FALSE
"167","Cabeza tractora Iveco Stralis AS440S48T/P XP","Iveco","ESPAÑA","Motilla Del Palancar",480,45500,628272,"2018",FALSE
"168","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Motilla Del Palancar",460,40500,377488,"2016",FALSE
"169","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Motilla Del Palancar",480,49000,573754,"2017",FALSE
"170","Cabeza tractora productos peligrosos / ADR Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Ciudad Real",480,32500,707205,"2016",FALSE
"171","Cabeza tractora Iveco Stralis AS440S48T/P","Iveco","ESPAÑA","Ciudad Real",480,51500,432978,"2017",FALSE
"172","Cabeza tractora Iveco Stralis AT440S46TP","Iveco","ESPAÑA","Ciudad Real",460,37000,589860,"2017",FALSE
"173","Cabeza tractora Renault","Renault","ESPAÑA","Palma De Mallorca",NA,54450,NA,NA,FALSE
"174","Cabeza tractora Renault","Renault","ESPAÑA","Palma De Mallorca",NA,54450,NA,NA,FALSE
"175","Cabeza tractora Iveco Stralis AS 440 S 46","Iveco","ESPAÑA","Torrent",460,NA,666124,"2016",FALSE
"176","Cabeza tractora Iveco Stralis AS 440 S 46 TP","Iveco","ESPAÑA","Torrent",460,NA,924008,"2014",FALSE
"177","Cabeza tractora Mercedes Actros 1852 LS","Mercedes","ESPAÑA","Alcala De Guadaira",520,58000,378000,"2018",FALSE
"178","Cabeza tractora Iveco Stralis AS440S46T/P","Iveco","ESPAÑA","Cordovilla",460,57000,428094,"2018",FALSE
"179","Cabeza tractora Iveco AS440S48TP Hi Way Euro6 AUT INT","Iveco","ESPAÑA","Teruel",NA,33500,564296,"2016",FALSE
"180","Cabeza tractora Renault T 430","Renault","ESPAÑA","Teruel",NA,28000,659986,"2014",FALSE
